"""region"",""typ av kostnad"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"""
"0513 Kinda,""övriga kostnader"",251,266,250,325,249,210,50,170,265,0,200,100,25"
"0513 Kinda,""investeringsutgifter"",..,25,0,40,0,..,50,90,85,95,70,50,50"
"0560 Boxholm,""mediekostnader"",347,333,332,336,317,331,334,317,332,349,400,321,412"
"0560 Boxholm,""personalkostnader för biblioteksverksamheten"",917,919,979,1134,1266,1196,1272,1404,1584,1152,852,928,1415"
"0560 Boxholm,""lokalkostnader (inkl. hyra, städning)"",571,437,652,665,700,691,702,641,587,619,163,668,700"
"0560 Boxholm,""övriga kostnader"",217,256,271,280,335,374,323,580,224,97,900,401,1520"
"0560 Boxholm,""investeringsutgifter"",..,..,0,..,0,0,0,0,..,0,..,..,.."
"0561 Åtvidaberg,""mediekostnader"",515,525,637,583,533,385,590,754,467,707,747,942,606"
"0561 Åtvidaberg,""personalkostnader för biblioteksverksamheten"",1306,1330,1404,1492,1746,1782,1972,1951,1805,2294,2680,3057,1537"
"0561 Åtvidaberg,""lokalkostnader (inkl. hyra, städning)"",805,927,821,946,849,735,1270,1313,701,845,945,1014,848"
"0561 Åtvidaberg,""övriga kostnader"",244,133,34,10,325,647,136,75,363,156,36,728,24"
"0561 Åtvidaberg,""investeringsutgifter"",8,30,128,50,89,0,50,20,98,20,72,45,54"
"0562 Finspång,""mediekostnader"",754,795,776,867,743,781,863,786,860,619,762,826,782"
"0562 Finspång,""personalkostnader för biblioteksverksamheten"",2801,2946,2994,3205,3027,2899,2830,2973,2800,2892,2958,3102,3109"
"0562 Finspång,""lokalkostnader (inkl. hyra, städning)"",894,897,908,914,348,334,411,344,219,300,300,1837,1872"
"0562 Finspång,""övriga kostnader"",416,450,469,553,184,234,229,483,487,218,279,791,839"
"0562 Finspång,""investeringsutgifter"",..,..,457,211,198,298,123,67,28,34,59,136,119"
"0563 Valdemarsvik,""mediekostnader"",460,475,480,480,523,506,460,551,516,681,625,566,701"
"0563 Valdemarsvik,""personalkostnader för biblioteksverksamheten"",1195,1375,1350,1405,1446,1545,1473,1860,1790,1869,1914,1989,1680"
"0563 Valdemarsvik,""lokalkostnader (inkl. hyra, städning)"",574,676,675,700,694,695,719,759,777,778,669,608,786"
"0563 Valdemarsvik,""övriga kostnader"",170,235,180,276,317,220,426,63,347,280,..,40,150"
"0563 Valdemarsvik,""investeringsutgifter"",187,176,180,143,14,43,..,0,..,0,24,78,778"
"0580 Linköping,""mediekostnader"",4103,4154,4460,4695,4150,4245,4907,5004,5404,5181,5648,5153,4874"
"0580 Linköping,""personalkostnader för biblioteksverksamheten"",17883,20703,21688,23192,20695,20297,21026,22691,23716,25214,24894,26034,27726"
"0580 Linköping,""lokalkostnader (inkl. hyra, städning)"",3193,2721,2314,24615,24786,25352,24560,25000,25000,23458,24811,24811,22186"
"0580 Linköping,""övriga kostnader"",4666,5586,6697,8734,8037,8599,9240,9579,9574,8694,7734,7396,12404"
"0580 Linköping,""investeringsutgifter"",10,..,0,6,0,0,444,841,3794,35,755,3623,729"
"0581 Norrköping,""mediekostnader"",6093,5928,5466,6519,5670,5889,5525,5715,5763,5901,6677,6261,5119"
"0581 Norrköping,""personalkostnader för biblioteksverksamheten"",16113,17097,16365,18249,17929,18797,18210,20747,19770,19674,19486,20380,21157"
"0581 Norrköping,""lokalkostnader (inkl. hyra, städning)"",5375,5408,5306,5710,5720,6852,6390,6722,6561,8055,7439,4374,7600"
"0581 Norrköping,""övriga kostnader"",6611,6964,6529,6255,6171,4853,5959,5719,4045,2122,2677,6161,7306"
"0581 Norrköping,""investeringsutgifter"",..,65,0,949,840,315,315,1225,396,1467,558,648,.."
"0582 Söderköping,""mediekostnader"",483,486,518,614,624,634,646,705,690,677,739,617,663"
"0582 Söderköping,""personalkostnader för biblioteksverksamheten"",1444,1667,1910,1992,1993,2044,2092,2507,2647,2384,2550,2677,2848"
"0582 Söderköping,""lokalkostnader (inkl. hyra, städning)"",892,913,937,995,1012,1129,1300,1338,1082,1215,1188,1295,1401"
"0582 Söderköping,""övriga kostnader"",375,217,168,367,423,351,379,455,647,682,803,678,355"
"0582 Söderköping,""investeringsutgifter"",10,20,100,186,57,25,29,19,45,510,100,..,.."
"0583 Motala,""mediekostnader"",1427,1540,1651,1629,1621,1057,1953,1820,1849,2050,1900,1975,2100"
"0583 Motala,""personalkostnader för biblioteksverksamheten"",6112,6856,6761,7088,6704,7125,9200,7952,5432,4570,5684,7155,9114"
"0583 Motala,""lokalkostnader (inkl. hyra, städning)"",4388,4357,4387,4657,4937,4776,4433,4500,3705,4610,4624,4592,4629"
"0583 Motala,""övriga kostnader"",1344,1872,1964,3002,1922,1304,1791,1743,..,0,1221,1355,766"
"0583 Motala,""investeringsutgifter"",..,2198,197,0,0,250,560,74,250,827,1660,154,414"
"0584 Vadstena,""mediekostnader"",455,475,550,513,399,465,355,385,385,435,443,443,303"
"0584 Vadstena,""personalkostnader för biblioteksverksamheten"",1204,1258,1667,1765,1431,1750,1303,1654,1815,1900,2064,2066,1963"
"0584 Vadstena,""lokalkostnader (inkl. hyra, städning)"",931,919,860,890,1032,854,1007,915,870,1700,957,960,1155"
"0584 Vadstena,""övriga kostnader"",444,730,456,642,483,318,436,280,822,0,422,450,257"
"0584 Vadstena,""investeringsutgifter"",128,158,111,162,0,0,100,45,36,150,..,..,350"
"0586 Mjölby,""mediekostnader"",984,1190,940,955,1047,886,934,976,992,1009,961,1155,1263"
"0586 Mjölby,""personalkostnader för biblioteksverksamheten"",3726,3421,3621,3860,4133,3878,4061,4217,4362,4683,4934,5213,5600"
"0586 Mjölby,""lokalkostnader (inkl. hyra, städning)"",2909,2908,2159,3668,3704,3635,3805,3823,3937,3982,3992,4077,3779"
"0586 Mjölby,""övriga kostnader"",267,253,1352,1036,1146,489,902,453,683,1447,1468,1196,1708"
"0586 Mjölby,""investeringsutgifter"",472,1270,729,129,52,35,230,203,..,99,390,..,168"
"0604 Aneby,""mediekostnader"",338,318,358,319,323,320,316,320,320,307,267,271,145"
"0604 Aneby,""personalkostnader för biblioteksverksamheten"",929,914,712,742,777,791,801,835,848,866,852,968,928"
"0604 Aneby,""lokalkostnader (inkl. hyra, städning)"",569,637,660,650,665,525,548,555,597,648,635,528,488"
"0604 Aneby,""övriga kostnader"",219,126,143,153,142,213,179,178,154,27,114,201,70"
"0604 Aneby,""investeringsutgifter"",..,..,0,0,354,0,0,0,..,0,50,..,100"
"0617 Gnosjö,""mediekostnader"",556,491,529,556,553,567,567,567,514,539,417,417,421"
"0617 Gnosjö,""personalkostnader för biblioteksverksamheten"",1731,1898,1950,1936,2076,2236,2276,2278,2427,2495,2092,2365,2201"
"0617 Gnosjö,""lokalkostnader (inkl. hyra, städning)"",1713,1661,1698,1472,1829,1962,2017,1758,2108,1864,1939,1906,1927"
"0617 Gnosjö,""övriga kostnader"",648,777,762,1163,620,0,895,420,927,492,..,..,.."
"0617 Gnosjö,""investeringsutgifter"",39,56,361,90,102,54,0,191,45,43,110,18,63"
"0642 Mullsjö,""mediekostnader"",286,250,316,249,249,283,283,283,300,307,300,312,312"
"0642 Mullsjö,""personalkostnader för biblioteksverksamheten"",607,689,827,874,914,889,953,1016,959,832,833,854,865"
"0642 Mullsjö,""lokalkostnader (inkl. hyra, städning)"",162,162,166,172,181,177,188,281,294,294,218,218,333"
"0642 Mullsjö,""övriga kostnader"",138,191,56,220,208,207,140,75,164,117,192,167,.."
"0642 Mullsjö,""investeringsutgifter"",25,..,0,..,0,50,0,0,..,0,..,10,10"
"0643 Habo,""mediekostnader"",504,309,463,535,437,435,501,453,470,490,490,462,470"
"0643 Habo,""personalkostnader för biblioteksverksamheten"",980,853,1229,1271,1294,1359,1401,1372,1444,1406,1521,1538,1130"
"0643 Habo,""lokalkostnader (inkl. hyra, städning)"",226,200,244,251,242,230,232,218,234,246,249,251,230"
"0643 Habo,""övriga kostnader"",206,384,218,429,227,278,207,244,292,248,190,251,345"
"0643 Habo,""investeringsutgifter"",..,287,0,64,43,42,306,0,20,19,21,108,.."
"0662 Gislaved,""mediekostnader"",1502,1377,1472,1520,1584,1534,1532,1500,1770,1948,1853,1981,1981"
"0662 Gislaved,""personalkostnader för biblioteksverksamheten"",5123,5439,5500,6093,6253,6511,6809,7300,7433,7758,7267,7642,7642"
"0662 Gislaved,""lokalkostnader (inkl. hyra, städning)"",3665,3380,3423,3539,3574,3713,3791,3500,5886,6007,6058,6004,6004"
"0662 Gislaved,""övriga kostnader"",1458,1513,1525,1440,2999,1271,1918,4000,2880,1540,..,3065,3065"
"0662 Gislaved,""investeringsutgifter"",126,678,177,0,36,140,2452,1200,820,1355,225,1053,1053"
"0665 Vaggeryd,""mediekostnader"",570,570,570,614,645,558,561,603,591,613,569,563,562"
"0665 Vaggeryd,""personalkostnader för biblioteksverksamheten"",1518,1782,1886,1951,1982,2101,2229,2177,2281,2424,2509,2704,2655"
"0665 Vaggeryd,""lokalkostnader (inkl. hyra, städning)"",1284,1471,1489,1357,1361,1281,1358,1347,1373,1401,1291,1235,1165"
"0665 Vaggeryd,""övriga kostnader"",569,303,338,608,514,609,588,660,608,348,727,676,691"
"0665 Vaggeryd,""investeringsutgifter"",..,..,0,..,0,0,0,..,..,0,..,178,53"
"0680 Jönköping,""mediekostnader"",3827,4212,4233,4096,4812,4743,5784,4999,5011,5290,5507,5997,6327"
"0680 Jönköping,""personalkostnader för biblioteksverksamheten"",14898,16081,16200,16480,16855,17780,19293,20453,21257,20737,21093,21670,21264"
"0680 Jönköping,""lokalkostnader (inkl. hyra, städning)"",8564,8733,9338,9310,9427,9242,9266,9371,9507,9756,10857,10034,10135"
"0680 Jönköping,""övriga kostnader"",3734,5636,4642,5755,1159,1417,731,2537,5419,5606,4457,5334,4939"
"0680 Jönköping,""investeringsutgifter"",4066,436,5562,198,481,0,119,217,64,229,417,104,572"
"0682 Nässjö,""mediekostnader"",1291,1121,1138,1168,1190,1315,1240,1307,1403,1382,1365,1466,1434"
"0682 Nässjö,""personalkostnader för biblioteksverksamheten"",4359,4538,4688,4850,3742,3894,4070,4340,4214,4205,3720,5536,5740"
"0682 Nässjö,""lokalkostnader (inkl. hyra, städning)"",1366,1386,1502,1373,888,893,900,922,1095,1129,1708,4163,4270"
"0682 Nässjö,""övriga kostnader"",960,1332,797,909,1648,1340,1390,1421,1681,1184,1208,1391,1494"
"0682 Nässjö,""investeringsutgifter"",250,304,304,362,431,377,350,..,..,0,329,791,778"
"0683 Värnamo,""mediekostnader"",1472,1638,1527,1601,1749,1687,1509,1554,1849,1766,1826,1828,1845"
"0683 Värnamo,""personalkostnader för biblioteksverksamheten"",4335,5221,5717,6684,6606,6901,6913,7337,7226,7496,7165,7148,7199"
"0683 Värnamo,""lokalkostnader (inkl. hyra, städning)"",2941,2866,2916,2961,3038,2965,2983,3061,3417,3217,3045,3118,3845"
"0683 Värnamo,""övriga kostnader"",2288,2271,2472,1346,2304,2363,2299,2524,1909,1666,2003,1768,340"
"0683 Värnamo,""investeringsutgifter"",317,873,290,480,221,324,3658,446,172,363,349,163,695"
"0684 Sävsjö,""mediekostnader"",698,777,753,617,590,657,690,594,591,574,631,617,717"
"0684 Sävsjö,""personalkostnader för biblioteksverksamheten"",1639,1746,1788,1859,1787,1588,1719,1752,2030,1777,1762,1792,1731"
"0684 Sävsjö,""lokalkostnader (inkl. hyra, städning)"",1059,1416,1144,959,976,1253,1204,1214,1324,1344,914,1052,1101"
"0684 Sävsjö,""övriga kostnader"",576,369,747,1004,978,472,1343,718,745,290,720,282,291"
"0684 Sävsjö,""investeringsutgifter"",273,..,0,0,0,90,130,0,..,25,60,57,.."
"0685 Vetlanda,""mediekostnader"",1044,925,1110,1160,1200,1289,1064,1043,1467,1146,1285,1285,1120"
"0685 Vetlanda,""personalkostnader för biblioteksverksamheten"",2945,2947,3227,3371,3515,3777,4112,4498,4243,4482,4825,4971,5286"
"0685 Vetlanda,""lokalkostnader (inkl. hyra, städning)"",2555,2225,2708,2761,2814,3063,3236,3501,3562,3635,3916,1962,1962"
"0685 Vetlanda,""övriga kostnader"",806,1217,775,846,850,850,872,1158,1058,907,671,882,366"
"0685 Vetlanda,""investeringsutgifter"",370,605,184,58,100,100,158,260,270,64,230,60,216"
"0686 Eksjö,""mediekostnader"",671,802,798,628,747,745,683,656,725,682,726,681,705"
"0686 Eksjö,""personalkostnader för biblioteksverksamheten"",2902,3297,3448,1926,3215,3290,3312,3145,3321,3804,3450,3503,3431"
"0686 Eksjö,""lokalkostnader (inkl. hyra, städning)"",1940,1913,1827,1601,1839,1851,1885,1842,1925,2126,2088,2044,2111"
"0686 Eksjö,""övriga kostnader"",690,886,840,1472,785,704,340,708,1123,512,650,751,724"
"0686 Eksjö,""investeringsutgifter"",..,..,0,0,0,0,0,0,..,93,49,46,51"
"0687 Tranås,""mediekostnader"",623,680,702,681,670,621,625,646,670,867,806,664,758"
"0687 Tranås,""personalkostnader för biblioteksverksamheten"",2360,2476,2466,2565,2571,2629,2795,2804,2947,2926,2812,3162,3427"
"0687 Tranås,""lokalkostnader (inkl. hyra, städning)"",2142,2141,2171,2220,2202,2201,1973,1971,2063,2113,2062,2051,2228"
"0687 Tranås,""övriga kostnader"",880,768,803,1098,851,555,591,677,726,263,58,413,249"
"0687 Tranås,""investeringsutgifter"",144,407,47,50,0,75,238,197,311,0,80,0,60"
"0760 Uppvidinge,""mediekostnader"",556,642,844,717,667,667,99,667,667,738,667,667,667"
"0760 Uppvidinge,""personalkostnader för biblioteksverksamheten"",1698,1784,2035,2119,1939,2091,2043,2226,2180,2255,2493,2637,2688"
"0760 Uppvidinge,""lokalkostnader (inkl. hyra, städning)"",865,844,625,911,763,897,888,992,829,897,786,803,769"
"0760 Uppvidinge,""övriga kostnader"",84,408,516,638,626,480,243,240,527,400,542,506,862"
"0760 Uppvidinge,""investeringsutgifter"",33,369,46,348,127,135,32,11,27,30,..,..,74"
"0761 Lessebo,""mediekostnader"",489,443,452,482,446,519,550,573,426,510,510,510,510"
"0761 Lessebo,""personalkostnader för biblioteksverksamheten"",1000,1222,1281,1306,1294,1549,1732,1748,1778,1982,2100,2135,2224"
"0761 Lessebo,""lokalkostnader (inkl. hyra, städning)"",670,574,719,737,755,746,746,762,884,805,864,834,1683"
"0761 Lessebo,""övriga kostnader"",561,363,499,412,455,354,358,1747,373,300,409,436,144"
"0761 Lessebo,""investeringsutgifter"",125,169,8,..,0,0,69,0,39,78,113,83,239"
"0763 Tingsryd,""mediekostnader"",835,900,857,862,833,735,735,735,835,835,835,785,792"
"0763 Tingsryd,""personalkostnader för biblioteksverksamheten"",2424,2326,2749,2907,2975,2919,2891,3032,3182,3196,3000,2335,3483"
"0763 Tingsryd,""lokalkostnader (inkl. hyra, städning)"",2079,1518,1500,1500,1478,1576,2171,1602,1979,1992,2000,1445,1485"
"0763 Tingsryd,""övriga kostnader"",407,783,738,664,612,779,275,812,384,412,435,2387,1006"
"0763 Tingsryd,""investeringsutgifter"",615,137,222,35,203,120,60,82,95,78,85,63,120"
"0764 Alvesta,""mediekostnader"",984,1115,1086,1105,1070,1091,1000,1009,970,949,933,952,851"
"0764 Alvesta,""personalkostnader för biblioteksverksamheten"",3258,3613,3939,4185,4298,4310,4099,4284,4656,4302,4076,4981,5825"
"0764 Alvesta,""lokalkostnader (inkl. hyra, städning)"",1054,1163,1343,1356,1392,1410,1430,1418,1398,1405,1541,1506,1610"
"0764 Alvesta,""övriga kostnader"",1080,1211,1095,1122,1010,1140,1125,1139,369,1107,1317,1102,961"
"0764 Alvesta,""investeringsutgifter"",952,127,27,264,3,140,291,81,250,228,30,150,350"
"0765 Älmhult,""mediekostnader"",1031,856,906,738,786,709,776,705,811,713,809,829,830"
"0765 Älmhult,""personalkostnader för biblioteksverksamheten"",2228,2287,2126,2637,2578,2775,2902,3166,3062,2968,3142,3952,3872"
"0765 Älmhult,""lokalkostnader (inkl. hyra, städning)"",1980,1982,1654,1676,1711,1480,1439,1428,1480,1548,1550,1160,1233"
"0765 Älmhult,""övriga kostnader"",358,566,306,552,454,306,329,410,573,727,490,476,623"
"0765 Älmhult,""investeringsutgifter"",..,..,0,0,0,0,160,54,..,108,251,93,106"
"0767 Markaryd,""mediekostnader"",410,397,404,410,437,406,420,422,432,376,442,442,436"
"0767 Markaryd,""personalkostnader för biblioteksverksamheten"",1819,1531,1531,1564,1606,1699,1767,1783,1753,1912,1980,2009,2210"
"0767 Markaryd,""lokalkostnader (inkl. hyra, städning)"",938,973,985,990,990,1200,1133,1140,1366,1423,1385,1416,1066"
"0767 Markaryd,""övriga kostnader"",430,453,279,285,285,275,212,225,409,961,328,350,275"
"0767 Markaryd,""investeringsutgifter"",410,405,0,..,0,99,53,70,20,130,50,30,150"
"0780 Växjö,""mediekostnader"",3558,3897,3626,3842,3500,4034,4028,4004,4173,3954,3977,4234,4111"
"0780 Växjö,""personalkostnader för biblioteksverksamheten"",16803,17147,17162,18060,16800,17719,18542,19443,20653,21593,21936,21059,21309"
"0780 Växjö,""lokalkostnader (inkl. hyra, städning)"",3659,3613,3624,7821,11500,10898,11012,11245,11952,11856,11956,11593,11478"
"0780 Växjö,""övriga kostnader"",3284,3283,3323,4895,5200,6296,5625,6248,5201,4156,3841,5012,4748"
"0780 Växjö,""investeringsutgifter"",1033,744,17,..,200,587,630,292,226,1022,176,213,723"
"0781 Ljungby,""mediekostnader"",1524,1090,1129,1394,1124,1634,1286,1349,1372,1171,1422,1492,1276"
"0781 Ljungby,""personalkostnader för biblioteksverksamheten"",4322,4701,5680,5832,6002,5656,5992,6779,7104,7318,7465,7342,7576"
"0781 Ljungby,""lokalkostnader (inkl. hyra, städning)"",1587,2022,1568,1248,1252,2045,1625,2510,2506,1651,2653,2013,2050"
"0781 Ljungby,""övriga kostnader"",1427,829,1332,1470,2340,1277,2516,1262,1602,1209,1972,862,.."
"0781 Ljungby,""investeringsutgifter"",100,0,723,100,100,175,3625,150,118,0,2917,2700,747"
"0821 Högsby,""mediekostnader"",420,380,593,438,514,422,422,442,455,299,365,415,449"
"0821 Högsby,""personalkostnader för biblioteksverksamheten"",1277,1322,1508,1029,1105,1102,1102,1120,1172,1124,1208,1582,1700"
"0821 Högsby,""lokalkostnader (inkl. hyra, städning)"",678,795,768,764,763,785,200,268,43,87,296,388,344"
"0821 Högsby,""övriga kostnader"",270,462,89,373,171,457,475,312,234,131,331,126,160"
"0821 Högsby,""investeringsutgifter"",..,5,0,0,0,0,0,325,..,0,..,..,.."
"0834 Torsås,""mediekostnader"",630,478,478,461,456,567,575,499,485,478,468,462,490"
"0834 Torsås,""personalkostnader för biblioteksverksamheten"",1591,1765,1648,1833,1820,1600,1414,1600,1600,1600,1630,1680,1725"
"0834 Torsås,""lokalkostnader (inkl. hyra, städning)"",653,651,681,665,693,780,786,748,659,717,704,552,602"
"0834 Torsås,""övriga kostnader"",352,257,255,227,204,213,107,177,144,230,352,325,246"
"0834 Torsås,""investeringsutgifter"",291,40,50,60,50,30,30,40,46,1550,19,17,.."
"0840 Mörbylånga,""mediekostnader"",791,723,734,764,1003,1100,1140,830,1120,1008,990,1076,1051"
"0840 Mörbylånga,""personalkostnader för biblioteksverksamheten"",2790,2969,3047,3166,2836,2910,2970,3127,3152,3536,3607,3702,5162"
"0840 Mörbylånga,""lokalkostnader (inkl. hyra, städning)"",2057,2074,2038,2034,2054,2043,1953,1835,1912,1961,1960,1838,1850"
"0840 Mörbylånga,""övriga kostnader"",424,476,600,380,396,222,661,454,736,588,506,198,862"
"0840 Mörbylånga,""investeringsutgifter"",65,..,0,..,0,0,0,0,..,245,..,23,152"
"0860 Hultsfred,""mediekostnader"",549,601,535,578,580,660,576,658,666,720,613,625,598"
"0860 Hultsfred,""personalkostnader för biblioteksverksamheten"",2706,2663,2424,2667,2846,2765,2855,3059,3017,2873,3265,3478,3528"
"0860 Hultsfred,""lokalkostnader (inkl. hyra, städning)"",277,282,531,287,324,56,0,0,..,0,755,199,206"
"0860 Hultsfred,""övriga kostnader"",1181,1303,907,1357,1071,1228,1373,1546,1466,280,572,877,836"
"0860 Hultsfred,""investeringsutgifter"",..,..,262,..,0,0,0,0,..,0,..,..,.."
"0861 Mönsterås,""mediekostnader"",646,707,892,735,777,..,679,670,683,690,609,584,676"
"0861 Mönsterås,""personalkostnader för biblioteksverksamheten"",2048,2098,2114,2391,2431,..,2512,2656,2819,2914,2976,3187,3303"
"0861 Mönsterås,""lokalkostnader (inkl. hyra, städning)"",561,656,675,719,710,..,786,747,628,809,918,899,1178"
"0861 Mönsterås,""övriga kostnader"",777,824,696,604,544,..,393,384,431,771,764,753,931"
"0861 Mönsterås,""investeringsutgifter"",330,200,165,123,86,..,260,153,220,110,60,194,253"
"0862 Emmaboda,""mediekostnader"",578,224,718,577,688,843,908,695,703,691,725,758,774"
"0862 Emmaboda,""personalkostnader för biblioteksverksamheten"",2716,2091,2912,2666,3102,3271,3206,3317,3473,3483,4104,3980,4037"
"0862 Emmaboda,""lokalkostnader (inkl. hyra, städning)"",1510,1343,1345,1519,1292,1564,1568,1630,2085,1961,2053,2385,2057"
"0862 Emmaboda,""övriga kostnader"",677,351,316,372,254,196,184,299,223,201,219,240,226"
"0862 Emmaboda,""investeringsutgifter"",38,20,218,19,19,73,20,60,31,20,5,25,40"
"0880 Kalmar,""mediekostnader"",2813,2838,2888,2685,2905,2389,2251,2347,2347,2453,3305,2769,2970"
"0880 Kalmar,""personalkostnader för biblioteksverksamheten"",10724,11282,11597,11945,12532,12977,12962,12510,13756,14360,15145,15739,14871"
"0880 Kalmar,""lokalkostnader (inkl. hyra, städning)"",3104,2681,2702,2881,2891,4242,3608,3630,3406,3510,3689,4673,4730"
"0880 Kalmar,""övriga kostnader"",3267,3198,2864,3151,2689,2510,2150,2300,1470,1769,1471,2937,3360"
"0880 Kalmar,""investeringsutgifter"",..,487,280,1630,517,660,118,2964,50,1013,210,127,3701"
"0881 Nybro,""mediekostnader"",1195,1173,1221,1172,1181,1187,1200,1242,1292,1234,1218,1030,1043"
"0881 Nybro,""personalkostnader för biblioteksverksamheten"",3876,4213,4404,4636,4683,4846,4932,5154,5233,5427,5642,5054,5646"
"0881 Nybro,""lokalkostnader (inkl. hyra, städning)"",2269,2209,2258,2385,2356,2376,2331,2393,2514,2572,2621,2567,2600"
"0881 Nybro,""övriga kostnader"",1060,965,1556,803,1208,963,998,910,68,716,452,919,1215"
"0881 Nybro,""investeringsutgifter"",..,60,400,120,110,100,200,100,3050,114,60,150,410"
"0882 Oskarshamn,""mediekostnader"",1438,1477,1334,1310,1177,1350,1705,1451,1578,1555,1424,1376,1473"
"0882 Oskarshamn,""personalkostnader för biblioteksverksamheten"",5036,5523,5682,5980,5900,6389,7014,6835,7099,6098,9144,8775,7667"
"0882 Oskarshamn,""lokalkostnader (inkl. hyra, städning)"",4350,3092,2972,3016,3011,3249,3325,3478,3678,3412,3804,3603,3806"
"0882 Oskarshamn,""övriga kostnader"",1358,1297,1285,2419,2423,1776,1066,1945,1777,2175,278,259,877"
"0882 Oskarshamn,""investeringsutgifter"",..,..,181,0,105,0,20,200,303,345,70,60,70"
"0883 Västervik,""mediekostnader"",1442,1670,1332,1647,1751,1967,2052,2007,1541,1499,1701,1636,1506"
"0883 Västervik,""personalkostnader för biblioteksverksamheten"",5846,6730,6915,7453,7873,8220,8515,8656,9287,9803,9942,9374,9037"
"0883 Västervik,""lokalkostnader (inkl. hyra, städning)"",2792,3134,3137,3137,3313,3310,3263,3452,3393,3473,3521,3925,4122"
"0883 Västervik,""övriga kostnader"",1912,2086,2288,2224,1583,1580,1410,1766,1777,2473,2645,2342,2375"
"0883 Västervik,""investeringsutgifter"",319,..,210,252,0,0,0,96,998,288,550,205,163"
"0884 Vimmerby,""mediekostnader"",724,711,774,795,746,815,788,784,802,854,813,811,811"
"0884 Vimmerby,""personalkostnader för biblioteksverksamheten"",3302,3523,3137,3338,3566,3399,3726,3747,3822,3893,3622,3515,3266"
"0884 Vimmerby,""lokalkostnader (inkl. hyra, städning)"",1177,1160,1463,1498,1542,1643,1693,1729,1818,1752,1753,1807,1818"
"0884 Vimmerby,""övriga kostnader"",971,935,866,1113,660,738,735,338,636,514,456,456,549"
"0884 Vimmerby,""investeringsutgifter"",52,100,0,0,0,0,..,0,..,0,..,..,.."
"0885 Borgholm,""mediekostnader"",747,714,746,741,810,817,822,982,892,924,956,945,940"
"0885 Borgholm,""personalkostnader för biblioteksverksamheten"",2811,2895,3141,3378,3501,3488,3826,4028,4167,4130,4188,4236,4405"
"0885 Borgholm,""lokalkostnader (inkl. hyra, städning)"",359,470,666,544,531,541,553,0,240,240,250,250,250"
"0885 Borgholm,""övriga kostnader"",802,454,499,418,693,873,0,574,500,500,600,679,402"
"0885 Borgholm,""investeringsutgifter"",195,174,177,257,294,276,245,156,124,130,159,53,299"
"0980 Gotland,""mediekostnader"",1313,4156,4493,4883,4245,4188,3955,4136,4103,4454,3250,2896,2914"
"0980 Gotland,""personalkostnader för biblioteksverksamheten"",12483,15764,16476,17070,17467,18368,18932,19254,20243,19485,18867,18448,14373"
"0980 Gotland,""lokalkostnader (inkl. hyra, städning)"",4080,5414,6676,6802,6894,5892,6312,6742,6621,7142,6568,6600,7776"
"0980 Gotland,""övriga kostnader"",960,3974,4569,4260,4952,4383,4202,4169,4813,5423,5095,5530,8270"
"0980 Gotland,""investeringsutgifter"",6140,5049,677,195,382,420,425,117,300,3449,1455,393,498"
"1060 Olofström,""mediekostnader"",600,635,793,770,747,760,881,810,804,688,853,943,826"
"1060 Olofström,""personalkostnader för biblioteksverksamheten"",2100,1823,2078,2359,2487,2642,2824,2950,3163,2773,2675,2596,2805"
"1060 Olofström,""lokalkostnader (inkl. hyra, städning)"",3449,3025,3262,3257,3095,3105,2639,1897,1852,1885,1586,1478,1861"
"1060 Olofström,""övriga kostnader"",484,487,479,546,482,389,508,544,511,549,569,893,624"
"1060 Olofström,""investeringsutgifter"",213,300,128,171,150,188,132,253,82,107,44,220,95"
"1080 Karlskrona,""mediekostnader"",3058,3286,3248,3324,3185,3049,3146,3083,3159,3266,4026,3462,2991"
"1080 Karlskrona,""personalkostnader för biblioteksverksamheten"",10695,10790,11721,12490,12457,13227,13848,14011,14439,14431,14794,14806,14943"
"1080 Karlskrona,""lokalkostnader (inkl. hyra, städning)"",3280,3825,3852,3926,4011,3664,3124,3324,3365,3497,3157,3742,3687"
"1080 Karlskrona,""övriga kostnader"",2918,2920,2970,3003,2462,2240,2499,2258,2344,2565,3535,1973,2316"
"1080 Karlskrona,""investeringsutgifter"",1235,1147,262,282,316,201,86,251,176,126,454,116,385"
"1081 Ronneby,""mediekostnader"",1724,2157,1986,1892,1541,1387,1703,1835,2113,1925,1752,1686,1257"
"1081 Ronneby,""personalkostnader för biblioteksverksamheten"",4743,5276,5673,6383,6335,6270,6538,6898,6885,6925,6779,6820,6414"
"1081 Ronneby,""lokalkostnader (inkl. hyra, städning)"",2760,2747,3007,3092,2093,2229,2450,2411,2592,2779,2802,3009,4016"
"1081 Ronneby,""övriga kostnader"",1007,795,1686,1603,1253,1278,1047,1448,1155,1363,112,1079,898"
"1081 Ronneby,""investeringsutgifter"",1700,255,1026,101,382,198,730,97,218,398,1203,307,57"
"1082 Karlshamn,""mediekostnader"",1653,1666,1711,1911,1782,1639,2024,1876,1837,1958,1936,1741,2004"
"1082 Karlshamn,""personalkostnader för biblioteksverksamheten"",4662,4942,4589,5693,5267,5635,5513,5808,5718,6004,8086,9612,6893"
"1082 Karlshamn,""lokalkostnader (inkl. hyra, städning)"",3765,3848,3802,3960,3540,2847,3414,3355,3439,3543,4116,4148,4057"
